"","business_id","full_address","open","city","review_count","name","longitude","state","stars","latitude","type","reservations","wifi","takeout","creditCards"
"19198","vcwmvs5yM5Tf9vUy74zEhw","160 University Avenue W
Waterloo, ON N2L 3E9",FALSE,"Waterloo",9,"McGinnis Frontrow Restaurant",-80.5365704,"ON",3.5,43.471988,"business",FALSE,"no",FALSE,TRUE
"19200","5awoo-7qHP6LGdcCiLGMkg","3 Regina St N
Waterloo, ON N2J 2Z7",TRUE,"Waterloo",13,"Masala Bay Fine Indian Dining",-80.5219384,"ON",3.5,43.465772,"business",TRUE,"no",TRUE,TRUE
"19202","jPfaWUZtRKj3Lo7dNz6Lnw","272 King St N
Waterloo, ON N2J 2Y9",TRUE,"Waterloo",39,"Morty's Pub",-80.5250886,"ON",4,43.477593,"business",TRUE,"no",TRUE,TRUE
"19203","yfpixV5IGLY6uezjNiM7Ng","170 University Avenue W
Waterloo, ON N2L 3E9",TRUE,"Waterloo",12,"The Pita Factory",-80.5382770299911,"ON",4.5,43.4725940388016,"business",FALSE,"no",TRUE,TRUE
"19207","0jSLF-sYd23ZUAvXwqHDPg","262 King St N
Waterloo, ON N2J 2Y9",TRUE,"Waterloo",24,"Bhima's Warung",-80.5250037834048,"ON",4.5,43.4774177316289,"business",TRUE,"free",FALSE,TRUE
"19208","66XRExJOYvkbKiYfc2JQhg","160 University Avenue W
Waterloo, ON N2L 3E9",TRUE,"Waterloo",12,"Vegetarian Fastfood Restaurant",-80.537082,"ON",4,43.471891,"business",FALSE,"no",TRUE,TRUE
"19209","u0wY6ffKnBs5JNJgGmIG7Q","465 Phillip St
Waterloo, ON N2L 6C7",TRUE,"Waterloo",7,"Koh I-Noor Restaurant",-80.5408262,"ON",3,43.4844189,"business",FALSE,"no",TRUE,TRUE
"19211","Ipb_UqP54IjVxg174uT6tw","183 Weber Street N
Waterloo, ON N2J 3H3",TRUE,"Waterloo",10,"Benny's Family Restaurant & Lounge",-80.5178155,"ON",3,43.4755885,"business",FALSE,"no",TRUE,TRUE
"19217","NIkRE72lwk-Fmp2Jr6xfew","160 Avenue University
Waterloo, ON N2L 3E9",TRUE,"Waterloo",4,"China Legend",-80.536612,"ON",3.5,43.472091,"business",FALSE,"no",FALSE,FALSE
"19219","qm4mo4XqntQAIXGh8V9NDQ","255 King Street N
Waterloo, ON N2J 4V2",TRUE,"Waterloo",9,"Sakura Island Restaurant",-80.5256905,"ON",4,43.4770992,"business",TRUE,"no",TRUE,TRUE
"19220","xIju4RdGQ9waB_E6E1DCAg","150 University Avenue W
Waterloo, ON N2L 3E4",TRUE,"Waterloo",4,"The Pita Pit",-80.5361832,"ON",2,43.4722801,"business",FALSE,"no",TRUE,TRUE
"19222","agLIxM7QfuJmfTNf6ktaOg","170 University Avenue W
Waterloo, ON N2L 3E9",TRUE,"Waterloo",7,"Seoul Soul",-80.538629,"ON",3,43.472371,"business",FALSE,"no",TRUE,TRUE
"19225","e6CFLu0S6ML97Qls_csnmw","85 King Street N
Waterloo, ON N2J 2X3",TRUE,"Waterloo",4,"Failte Irish Pub",-80.5233044,"ON",3.5,43.4679985,"business",FALSE,"no",FALSE,TRUE
"19227","QQ1Yky64kfZeoSdv1ascMw","15 King Street S
Waterloo, ON N2J 1N9",FALSE,"Waterloo",9,"The Rude Native Bistro",-80.5223045,"ON",2,43.4646939,"business",FALSE,"no",FALSE,TRUE
"19228","4ds-oi5g3gf1GZeNo50VKw","384 King Street N
Waterloo, ON N2J 2Z3",TRUE,"Waterloo",23,"Ennio's Pasta House",-80.5260902,"ON",3.5,43.483456,"business",TRUE,"no",TRUE,TRUE
"19230","-2BNc33MHRuXljtCkXcLPg","59 King Street N
Waterloo, ON N2J 2X2",TRUE,"Waterloo",6,"Lion Brewery Restaurant",-80.5228895,"ON",2.5,43.467046,"business",FALSE,"no",FALSE,TRUE
"19233","LPNIKZPVt5W5iOWA7VsDJQ","258 King Street N
Waterloo, ON N2J 4V2",TRUE,"Waterloo",18,"King Tin Restaurant",-80.525,"ON",3,43.476903,"business",TRUE,"no",TRUE,FALSE
"19236","5CWTPfVpE-yK4R7Y3vKygQ","8 William St E
Waterloo, ON N2J 1K9",TRUE,"Waterloo",10,"Marbles Restaurant",-80.521002,"ON",3,43.4622033,"business",FALSE,"no",FALSE,TRUE
"19238","euqheLtx4V3-T3yaOFK7TQ","170 Avenue University W
Waterloo, ON N2L 3E9",FALSE,"Waterloo",6,"Phat Cat Restaurant",-80.537061,"ON",3,43.472566,"business",FALSE,"no",FALSE,FALSE
"19240","5U7oz95bINkyw_L8RckGEA","160 University Avenue W
Waterloo, ON N2L 3E9",TRUE,"Waterloo",18,"Mikey's Eatery",-80.5377496406436,"ON",3,43.4723280992129,"business",FALSE,"no",TRUE,TRUE
"19241","2uAu33sEzH32T_MACquC8w","402 King St N
Waterloo, ON N2J 2Z3",TRUE,"Waterloo",8,"Twice the Deal Pizza",-80.5267442,"ON",4,43.48499,"business",FALSE,"no",TRUE,TRUE
"19245","dbObnYBNgKR-ADGhLfLm_A","59 King St N
Waterloo, ON N2J 2X2",TRUE,"Waterloo",9,"Barley Works Bar & Grill",-80.5228895,"ON",2.5,43.467046,"business",FALSE,"no",FALSE,FALSE
"19247","wKSupdOGziF7c4ZzvQpfug","220 King Street N
Waterloo, ON N2J 2Y7",TRUE,"Waterloo",6,"Raintree Cafe",-80.5243892,"ON",4.5,43.4752375,"business",FALSE,"no",FALSE,TRUE
"19248","Vz2bGRrQ1mOjOR6lcaw7Kg","47 Erb Street W
Waterloo, ON N2L 1S8",TRUE,"Waterloo",22,"Angie's Waterloo",-80.5242138,"ON",4,43.4646811,"business",TRUE,"free",TRUE,TRUE
"19251","TFXi2C_O5FYLoVXEANJC8A","160 W University Avenue
Unit 1
Waterloo, ON N2L 3E9",TRUE,"Waterloo",4,"Mr Panino",-80.536591,"ON",2.5,43.471998,"business",FALSE,"no",FALSE,TRUE
"19252","ej_Ovd4GuqnFv6d4i54Z7Q","150 Caroline St S
Waterloo, ON N2M 1P2",TRUE,"Waterloo",36,"Vincenzo's",-80.5193889,"ON",4.5,43.4596341,"business",FALSE,"no",TRUE,TRUE
"19254","XI605V-ZprXEMhFzGkpkaQ","160 Av University O
Waterloo, ON N2L 3E9",TRUE,"Waterloo",9,"Taste of Taiwan Home Garden",-80.5364492,"ON",4,43.4720225,"business",FALSE,"no",TRUE,TRUE
"19258","U7PiSfu-xOvNVRXKqNOgAA","36 Northfield Drive E
Unit 1
Waterloo, ON N2L 6A1",TRUE,"Waterloo",38,"Ben Thanh",-80.53118,"ON",3.5,43.502488,"business",TRUE,"no",TRUE,TRUE
"19260","9tWxINfoP5FPf9BTaX4_nA","597 King Street N
Waterloo, ON N2V 2N3",TRUE,"Waterloo",8,"Boston Pizza",-80.5351869,"ON",3,43.5030738,"business",TRUE,"free",TRUE,TRUE
"19262","SNURWpGRcT8sCXbCMkBWQA","79 Regina Street North
Waterloo, ON N2J 3A7",TRUE,"Waterloo",6,"Lotus Tea House",-80.5224956,"ON",5,43.4697612,"business",FALSE,"no",FALSE,TRUE
"19265","xq7SoGiBbXFgCY9Cg4yzsw","95 King Street S
Waterloo, ON N2J 5A2",TRUE,"Waterloo",5,"Starbucks",-80.5219541117549,"ON",3,43.4628223628496,"business",FALSE,"no",FALSE,FALSE
"19269","oHdA-zwQ2k_RzDIa6JaclA","256 Weber St N
Waterloo, ON N2J 3H6",TRUE,"Waterloo",8,"Sonny's Drive-In Limited",-80.5203846,"ON",4,43.4787316,"business",FALSE,"no",TRUE,TRUE
